PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
,,,,
PI_SERIES,LAB207,16,2.66E-07,1.45E-05
PI_SERIES,LAB207,32,4.12E-07,1.42E-05
PI_SERIES,LAB207,64,7.19E-07,1.45E-05
PI_SERIES,LAB207,128,1.30E-06,1.46E-05
PI_SERIES,LAB207,256,2.38E-06,1.49E-05
PI_SERIES,LAB207,512,4.55E-06,1.80E-05
PI_SERIES,LAB207,1024,8.74E-06,2.08E-05
PI_SERIES,LAB207,2048,1.76E-05,3.01E-05
PI_SERIES,LAB207,4096,3.40E-05,4.56E-05
PI_SERIES,LAB207,8192,6.72E-05,7.89E-05
PI_SERIES,LAB207,16384,1.33E-04,1.44E-04
PI_SERIES,LAB207,32768,2.71E-04,2.83E-04
PI_SERIES,LAB207,65536,5.36E-04,5.47E-04
PI_SERIES,LAB207,131072,1.04E-03,1.05E-03
PI_SERIES,LAB207,262144,2.06E-03,2.07E-03
PI_SERIES,LAB207,524288,4.00E-03,4.01E-03
PI_SERIES,LAB207,1048576,7.80E-03,7.81E-03
PI_SERIES,LAB207,2097152,1.50E-02,1.50E-02
PI_SERIES,LAB207,4194304,2.78E-02,2.78E-02
PI_SERIES,LAB207,8388608,5.19E-02,5.19E-02
PI_SERIES,LAB207,16777216,1.02E-01,1.02E-01
PI_SERIES,LAB207,33554432,2.05E-01,2.05E-01
PI_SERIES,LAB207,67108864,4.04E-01,4.04E-01
,,,,
PI_SERIES,CLUSTER,16,2.54E-07,1.36E-05
PI_SERIES,CLUSTER,32,3.22E-07,1.07E-05
PI_SERIES,CLUSTER,64,8.33E-07,1.50E-05
PI_SERIES,CLUSTER,128,1.14E-06,1.19E-05
PI_SERIES,CLUSTER,256,2.82E-06,1.60E-05
PI_SERIES,CLUSTER,512,3.83E-06,1.32E-05
PI_SERIES,CLUSTER,1024,1.09E-05,2.40E-05
PI_SERIES,CLUSTER,2048,1.73E-05,2.79E-05
PI_SERIES,CLUSTER,4096,4.17E-05,5.36E-05
PI_SERIES,CLUSTER,8192,6.62E-05,7.64E-05
PI_SERIES,CLUSTER,16384,1.74E-04,1.87E-04
PI_SERIES,CLUSTER,32768,3.31E-04,3.44E-04
PI_SERIES,CLUSTER,65536,6.82E-04,6.95E-04
PI_SERIES,CLUSTER,131072,1.11E-03,1.12E-03
PI_SERIES,CLUSTER,262144,2.50E-03,2.51E-03
PI_SERIES,CLUSTER,524288,5.21E-03,5.23E-03
PI_SERIES,CLUSTER,1048576,9.77E-03,9.78E-03
PI_SERIES,CLUSTER,2097152,1.73E-02,1.73E-02
PI_SERIES,CLUSTER,4194304,3.56E-02,3.57E-02
PI_SERIES,CLUSTER,8388608,6.27E-02,6.27E-02
PI_SERIES,CLUSTER,16777216,1.23E-01,1.23E-01
PI_SERIES,CLUSTER,33554432,2.61E-01,2.61E-01
PI_SERIES,CLUSTER,67108864,4.67E-01,4.67E-01
