PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
,,,,
MERGE_SORT,LAB207,16,1.93E-06,1.30E-05
MERGE_SORT,LAB207,32,3.13E-06,1.27E-05
MERGE_SORT,LAB207,64,6.78E-06,1.61E-05
MERGE_SORT,LAB207,128,1.47E-05,2.47E-05
MERGE_SORT,LAB207,256,3.07E-05,4.11E-05
MERGE_SORT,LAB207,512,6.23E-05,7.40E-05
MERGE_SORT,LAB207,1024,1.31E-04,1.44E-04
MERGE_SORT,LAB207,2048,2.82E-04,3.00E-04
MERGE_SORT,LAB207,4096,6.08E-04,6.34E-04
MERGE_SORT,LAB207,8192,1.29E-03,1.34E-03
MERGE_SORT,LAB207,16384,2.62E-03,2.70E-03
MERGE_SORT,LAB207,32768,5.47E-03,5.63E-03
MERGE_SORT,LAB207,65536,1.12E-02,1.15E-02
MERGE_SORT,LAB207,131072,2.32E-02,2.38E-02
,,,,
MERGE_SORT,CLUSTER,16,3.02E-06,5.85E-05
MERGE_SORT,CLUSTER,32,5.05E-06,5.86E-05
MERGE_SORT,CLUSTER,64,1.30E-05,6.68E-05
MERGE_SORT,CLUSTER,128,2.58E-05,8.49E-05
MERGE_SORT,CLUSTER,256,4.79E-05,1.02E-04
MERGE_SORT,CLUSTER,512,1.12E-04,1.74E-04
MERGE_SORT,CLUSTER,1024,2.12E-04,2.80E-04
MERGE_SORT,CLUSTER,2048,4.75E-04,5.49E-04
MERGE_SORT,CLUSTER,4096,9.94E-04,1.08E-03
MERGE_SORT,CLUSTER,8192,2.06E-03,2.18E-03
MERGE_SORT,CLUSTER,16384,4.39E-03,4.56E-03
MERGE_SORT,CLUSTER,32768,8.91E-03,9.19E-03
MERGE_SORT,CLUSTER,65536,1.78E-02,1.83E-02
MERGE_SORT,CLUSTER,131072,3.58E-02,3.67E-02
