PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_IJK,LAB 207,4,5.14E-07,1.14E-05
MATMUL_IJK,LAB 207,8,2.61E-06,1.37E-05
MATMUL_IJK,LAB 207,16,1.74E-05,2.96E-05
MATMUL_IJK,LAB 207,32,1.48E-04,1.69E-04
MATMUL_IJK,LAB 207,64,1.16E-03,1.21E-03
MATMUL_IJK,LAB 207,128,9.79E-03,9.96E-03
MATMUL_IJK,LAB 207,256,8.95E-02,9.01E-02
MATMUL_IJK,LAB 207,512,7.42E-01,7.45E-01
MATMUL_IJK,LAB 207,1024,1.36E+01,1.36E+01
MATMUL_IJK,CLUSTER,4,7.61E-07,5.36E-05
MATMUL_IJK,CLUSTER,8,4.37E-06,6.60E-05
MATMUL_IJK,CLUSTER,16,2.79E-05,8.44E-05
MATMUL_IJK,CLUSTER,32,2.29E-04,2.99E-04
MATMUL_IJK,CLUSTER,64,1.97E-03,2.10E-03
MATMUL_IJK,CLUSTER,128,1.60E-02,1.64E-02
MATMUL_IJK,CLUSTER,256,1.37E-01,1.38E-01
MATMUL_IJK,CLUSTER,512,9.21E-01,9.25E-01
MATMUL_IJK,CLUSTER,1024,7.12E+00,7.13E+00
