PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_IKJ,LAB207,4,6.87E-07,1.80E-05
MATMUL_IKJ,LAB207,8,0.000003193,1.70E-05
MATMUL_IKJ,LAB207,16,2.73E-05,4.55E-05
MATMUL_IKJ,LAB207,32,0.000191962,0.000219108
MATMUL_IKJ,LAB207,64,0.001499697,0.001562946
MATMUL_IKJ,LAB207,128,0.011294798,0.011523955
MATMUL_IKJ,LAB207,256,0.071462779,0.072251868
MATMUL_IKJ,LAB207,512,0.526541609,0.529020669
MATMUL_IKJ,LAB207,1024,4.310153221,4.318401355
MATMUL_IKJ,CLUSTER,4,6.69E-07,4.63E-05
MATMUL_IKJ,CLUSTER,8,3.54E-06,5.53E-05
MATMUL_IKJ,CLUSTER,16,2.22E-05,6.87E-05
MATMUL_IKJ,CLUSTER,32,1.88E-04,2.41E-04
MATMUL_IKJ,CLUSTER,64,1.44E-03,1.53E-03
MATMUL_IKJ,CLUSTER,128,1.12E-02,1.14E-02
MATMUL_IKJ,CLUSTER,256,8.07E-02,8.14E-02
MATMUL_IKJ,CLUSTER,512,6.08E-01,6.11E-01
MATMUL_IKJ,CLUSTER,1024,4.51E+00,4.52E+00
