PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_JIK,LAB207,4,6.21E-07,1.37E-05
MATMUL_JIK,LAB207,8,0.000003226,1.70E-05
MATMUL_JIK,LAB207,16,2.20E-05,3.72E-05
MATMUL_JIK,LAB207,32,0.000183039,0.000208464
MATMUL_JIK,LAB207,64,0.001396466,0.001456757
MATMUL_JIK,LAB207,128,0.011314186,0.01153378
MATMUL_JIK,LAB207,256,0.075405527,0.076163501
MATMUL_JIK,LAB207,512,0.647328626,0.649804806
MATMUL_JIK,LAB207,1024,5.498855601,5.507157165
MATMUL_JIK,CLUSTER,4,1.02E-06,7.87E-05
MATMUL_JIK,CLUSTER,8,3.75E-06,6.11E-05
MATMUL_JIK,CLUSTER,16,3.49E-05,1.05E-04
MATMUL_JIK,CLUSTER,32,2.11E-04,2.78E-04
MATMUL_JIK,CLUSTER,64,2.16E-03,2.30E-03
MATMUL_JIK,CLUSTER,128,1.55E-02,1.58E-02
MATMUL_JIK,CLUSTER,256,1.07E-01,1.08E-01
MATMUL_JIK,CLUSTER,512,7.89E-01,7.92E-01
MATMUL_JIK,CLUSTER,1024,5.92E+00,5.93E+00
