PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_JKI,LAB207,4,5.44E-07,1.18E-05
MATMUL_JKI,LAB207,8,2.88E-06,1.45E-05
MATMUL_JKI,LAB207,16,2.01E-05,0.000032841
MATMUL_JKI,LAB207,32,0.000158541,0.000179144
MATMUL_JKI,LAB207,64,0.001239292,0.001289548
MATMUL_JKI,LAB207,128,0.010365766,0.010537072
MATMUL_JKI,LAB207,256,0.089725711,0.090411575
MATMUL_JKI,LAB207,512,1.061843805,1.06446426
MATMUL_JKI,LAB207,1024,19.44037739,19.44897109
MATMUL_JKI,CLUSTER,4,5.83E-07,3.95E-05
MATMUL_JKI,CLUSTER,8,3.10E-06,4.37E-05
MATMUL_JKI,CLUSTER,16,2.78E-05,7.76E-05
MATMUL_JKI,CLUSTER,32,2.12E-04,2.71E-04
MATMUL_JKI,CLUSTER,64,1.54E-03,1.63E-03
MATMUL_JKI,CLUSTER,128,1.33E-02,1.35E-02
MATMUL_JKI,CLUSTER,256,1.08E-01,1.09E-01
MATMUL_JKI,CLUSTER,512,1.19E+00,1.19E+00
MATMUL_JKI,CLUSTER,1024,1.50E+01,1.50E+01
