PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_KIJ,LAB207,4,4.68E-07,1.04E-05
MATMUL_KIJ,LAB207,8,0.00000237,1.27E-05
MATMUL_KIJ,LAB207,16,1.80E-05,3.07E-05
MATMUL_KIJ,LAB207,32,0.000149621,0.000170212
MATMUL_KIJ,LAB207,64,0.001155259,0.001205502
MATMUL_KIJ,LAB207,128,0.008671628,0.008849867
MATMUL_KIJ,LAB207,256,0.067047193,0.067703423
MATMUL_KIJ,LAB207,512,0.525510121,0.527963976
MATMUL_KIJ,LAB207,1024,4.319245312,4.327811941
MATMUL_KIJ,CLUSTER,4,8.06E-07,5.91E-05
MATMUL_KIJ,CLUSTER,8,4.24E-06,6.47E-05
MATMUL_KIJ,CLUSTER,16,3.04E-05,8.74E-05
MATMUL_KIJ,CLUSTER,32,2.57E-04,3.32E-04
MATMUL_KIJ,CLUSTER,64,1.83E-03,1.96E-03
MATMUL_KIJ,CLUSTER,128,1.46E-02,1.49E-02
MATMUL_KIJ,CLUSTER,256,9.13E-02,9.22E-02
MATMUL_KIJ,CLUSTER,512,6.55E-01,6.59E-01
MATMUL_KIJ,CLUSTER,1024,4.54E+00,4.55E+00
