PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_KJI,LAB207,4,5.89E-07,0.000012207
MATMUL_KJI,LAB207,8,2.92E-06,1.57E-05
MATMUL_KJI,LAB207,16,1.87E-05,3.08E-05
MATMUL_KJI,LAB207,32,0.000153449,0.000173489
MATMUL_KJI,LAB207,64,0.001217367,0.001265724
MATMUL_KJI,LAB207,128,0.010203143,0.010412139
MATMUL_KJI,LAB207,256,0.091309327,0.09201094
MATMUL_KJI,LAB207,512,1.072771076,1.075242737
MATMUL_KJI,LAB207,1024,18.25723347,18.26569784
MATMUL_KJI,CLUSTER,4,7.84E-07,5.75E-05
MATMUL_KJI,CLUSTER,8,5.14E-06,7.46E-05
MATMUL_KJI,CLUSTER,16,2.92E-05,8.19E-05
MATMUL_KJI,CLUSTER,32,3.07E-04,3.94E-04
MATMUL_KJI,CLUSTER,64,1.82E-03,1.94E-03
MATMUL_KJI,CLUSTER,128,2.01E-02,2.05E-02
MATMUL_KJI,CLUSTER,256,1.25E-01,1.26E-01
MATMUL_KJI,CLUSTER,512,1.32E+00,1.32E+00
MATMUL_KJI,CLUSTER,1024,1.56E+01,1.56E+01
