PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_TRANSPOSE,LAB207,4,0.000000502,0.000011027
MATMUL_TRANSPOSE,LAB207,8,0.000002341,1.29E-05
MATMUL_TRANSPOSE,LAB207,16,1.74E-05,3.14E-05
MATMUL_TRANSPOSE,LAB207,32,0.000144236,0.000168888
MATMUL_TRANSPOSE,LAB207,64,0.001166919,0.00123907
MATMUL_TRANSPOSE,LAB207,128,0.008793629,0.009098147
MATMUL_TRANSPOSE,LAB207,256,0.067471189,0.068559276
MATMUL_TRANSPOSE,LAB207,512,0.531782784,0.536213456
MATMUL_TRANSPOSE,LAB207,1024,4.347397062,4.366177287
MATMUL_TRANSPOSE,CLUSTER,4,5.87E-07,4.92E-05
MATMUL_TRANSPOSE,CLUSTER,8,3.62E-06,5.76E-05
MATMUL_TRANSPOSE,CLUSTER,16,2.73E-05,8.24E-05
MATMUL_TRANSPOSE,CLUSTER,32,2.09E-04,2.78E-04
MATMUL_TRANSPOSE,CLUSTER,64,1.53E-03,1.65E-03
MATMUL_TRANSPOSE,CLUSTER,128,1.19E-02,1.22E-02
MATMUL_TRANSPOSE,CLUSTER,256,8.39E-02,8.50E-02
MATMUL_TRANSPOSE,CLUSTER,512,6.22E-01,6.27E-01
MATMUL_TRANSPOSE,CLUSTER,1024,4.58E+00,4.60E+00
