PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,1.80E-07,9.24E-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,3.03E-07,9.26E-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,5.50E-07,9.53E-06
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,1.07E-06,1.02E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,2.09E-06,1.14E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,4.01E-06,1.33E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,7.92E-06,2.06E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,1.62E-05,2.58E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,3.24E-05,4.17E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,6.48E-05,7.41E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.000129607,0.000138854
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.000252921,0.000261975
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.000508851,0.000518039
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.001007797,0.001017225
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.002021803,0.002031221
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.003989593,0.003998995
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.007838846,0.007848155
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.015423444,0.015432443
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,0,0.030577408,0.030586696
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,0,0.060607035,0.060615995
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,0,0.120387762,0.120397639
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,0,0.239556359,0.239565595
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,0,0.478541622,0.478550761
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,0,0.956177848,0.956187475
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,5.05E-05,5.98E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,4.63E-05,5.52E-05
