PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,2.08E-06,1.33E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,3.72E-06,1.97E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,7.92E-06,1.75E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,1.62E-05,2.60E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,2.97E-05,3.97E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,6.80E-05,7.98E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,0.000127243,0.000141385
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,0.000279724,0.00029925
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,0.000585584,0.000613172
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,0.001228588,0.001275975
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.002548297,0.002634423
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.00527916,0.005454571
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.011002203,0.011319631
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.022488495,0.023139762
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,6.46E-05,7.43E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,6.27E-05,7.23E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,8.88E-05,9.85E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,7.54E-05,8.56E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,8.66E-05,9.69E-05
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,0.000109648,0.000121597
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,0.000168207,0.000182421
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,2,0.00027175,0.000289952
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,2,0.000479132,0.000503367
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,2,0.000998836,0.001042351
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,2,0.001860705,0.001939218
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,2,0.003658881,0.003823899
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,2,0.007497177,0.007816989
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,2,0.015206235,0.015842995
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,4,0.000136681,0.000146623
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,4,9.06E-05,0.000100034
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,4,0.00014665,0.00014761
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,4,0.000167992,0.000177986
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,4,0.000365191,0.000375507
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,4,0.000290876,0.000302483
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,4,0.000154736,0.000168803
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,4,0.000212563,0.000230857
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,4,0.000393335,0.000419356
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,4,0.000847262,0.00089075
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,4,0.001345701,0.001422466
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,4,0.002599295,0.002765478
MERGE_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,4,0.00541699,0.005744443
