PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME,SPEEDUP
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,2.01E-05,3.60E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,1.78E-05,3.14E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,1.84E-05,3.16E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,2.15E-05,3.49E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,2.34E-05,3.68E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,2.81E-05,4.06E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,4.23E-05,5.48E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,6.38E-05,7.62E-05,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,0.000115151,0.00012867,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,0.00020803,0.000220312,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.000401087,0.000413335,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.000795834,0.000808375,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.001545145,0.001557533,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.003014343,0.003026866,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.005877095,0.005889032,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.01154029,0.011552666,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.022585069,0.022596659,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.043479422,0.043491157,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,0,0.085585408,0.085596699,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,0,0.168273641,0.16828648,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,0,0.334981351,0.334992823,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,0,0.668803206,0.668814423,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,0,1.335984003,1.335995734,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,0,2.695350005,2.695361691,1
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,7.20E-05,8.50E-05,2.80E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,5.95E-05,7.16E-05,3.00E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,5.96E-05,7.16E-05,3.08E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,6.49E-05,7.92E-05,3.32E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,6.70E-05,8.09E-05,3.49E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,7.11E-05,8.42E-05,3.96E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,7.66E-05,8.85E-05,5.52E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,2,9.19E-05,0.000104828,6.95E-01
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,2,0.000100443,0.000111844,1.15E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,2,0.000141011,0.000152386,1.48E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,2,0.000231654,0.000243178,1.73E+00
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,2,0.000411213,0.000425616,1.94E+00
